region,start_date,end_date,uhi,ndvi_mean,ndvi_std,evi_mean,evi_std,evi2_mean,evi2_std,population_mean,population_std,albedo_mean,albedo_std,no2_mean,no2_std
Yavatmal,2018-09-08,2018-10-08,1.1273112316656435,0.4295075308641975,0.0684956948160495,0.3284254732510287,0.0567509758849035,0.2832387654320987,0.0510819723513644,24118.022928722992,0.0009765625,0.1208908191260043,0.0130783588780805,7.218623107871258e-05,1.1896143658831474e-06
Yavatmal,2018-10-08,2018-11-07,0.7799088607595195,0.4366559259259259,0.0628106053818743,0.300926512345679,0.04192773999227,0.260409537037037,0.0400479473373791,24118.022928722992,0.0009765625,0.1171245157295935,0.0147960681665876,9.375640000553308e-05,2.689952883513222e-06
Yavatmal,2018-11-07,2018-12-07,2.5854356540084105,0.4338000925925925,0.0478299656620652,0.2837464814814814,0.0325867921624315,0.2499377160493827,0.0289269039387968,24118.022928722992,0.0009765625,0.1215309709378115,0.0138667444965272,8.623130535239609e-05,2.2002275689532794e-06
Yavatmal,2018-12-07,2019-01-06,1.244492264416305,0.3970123765432098,0.0471195106219281,0.260211049382716,0.0274054608994152,0.2251268518518518,0.0311089439950052,24118.022928722992,0.0009765625,0.118023434744268,0.0108394086814003,0.0001033110816403,4.026565320934254e-06
Yavatmal,2019-01-06,2019-02-05,0.8402335048917102,0.3577016049382716,0.0426161609924493,0.2500223148148148,0.0306397246170616,0.206266049382716,0.0291497211004561,24118.022928722992,0.0009765625,0.1129145972957084,0.0101495054223079,8.103436682018435e-05,4.664937056352179e-06
Yavatmal,2019-02-05,2019-03-07,0.7983910351252135,0.3303791358024691,0.0381042192340627,0.2300576543209876,0.02174556146342,0.1935949382716049,0.0196549771050489,24118.022928722992,0.0009765625,0.1195944855967078,0.0109081009651849,6.307362721180285e-05,2.4393731219227248e-06
Yavatmal,2019-03-07,2019-04-06,0.9846486530347108,0.3136150205761317,0.021653864406844,0.2437875308641975,0.0227118387967106,0.2030871193415638,0.01739875823714,24118.022928722992,0.0009765625,0.1252804938271605,0.0088972842298459,6.767925652104197e-05,1.599211125921809e-06
Yavatmal,2019-04-06,2019-05-06,1.1168812236287025,0.2982352160493827,0.0477092086892036,0.232211049382716,0.0455792184690567,0.190154475308642,0.0362077338456078,24118.022928722992,0.0009765625,0.1181092456769851,0.0074130093546428,7.181636919931156e-05,1.6663902690432804e-06
Yavatmal,2019-05-06,2019-06-05,0.8625449873244264,0.2808903086419753,0.0496700724153891,0.2129427160493827,0.0478375505250255,0.1704694444444444,0.0367206929007254,24118.022928722992,0.0009765625,0.1168359457925358,0.010537727299412,9.008584800785514e-05,1.773597186451661e-06
Yavatmal,2019-06-05,2019-07-05,1.9250053244926943,0.3322568518518519,0.0331797188088503,0.214278024691358,0.0203087602326554,0.1816430864197531,0.0192292194552814,24118.022928722992,0.0009765625,0.1127499364821243,0.0069936327368728,0.0001000662355741,1.9472764927900105e-06
Yavatmal,2019-07-05,2019-08-04,1.8629556962025264,0.4094597942386832,0.0477181218124263,0.2966687242798353,0.0295405391768856,0.2542679835390947,0.0286029594307026,24118.022928722992,0.0009765625,0.1160397519482437,0.0190226185778704,8.405046730611149e-05,1.3065837502374778e-06
Yavatmal,2019-08-04,2019-09-03,3.097237732656559,0.4784237345679011,0.058820741236484,0.265771049382716,0.0303737973977468,0.243316049382716,0.0281801194259246,24118.022928722992,0.0009765625,0.1117910401002506,0.0154320767895634,8.416921047710117e-05,2.0332322755478094e-06
Yavatmal,2019-09-03,2019-10-03,1.468552742616069,0.4016636728395061,0.0653752387065431,0.2814330555555556,0.0511280622554777,0.2487518209876542,0.0495988340179233,24118.022928722992,0.0009765625,0.1186872248861088,0.0133035178848559,7.699666821213788e-05,5.864068287355729e-07
Yavatmal,2019-10-03,2019-11-02,1.4694113924050214,0.4340110185185185,0.0505092024412389,0.2792950308641975,0.0359690855761927,0.2453466975308642,0.0376434091176662,24118.022928722992,0.0009765625,0.1200379400457128,0.015835332569847,6.415480774803412e-05,1.5131623958615295e-06
Yavatmal,2019-11-02,2019-12-02,0.5044665963432031,0.4356914814814815,0.0526108274660903,0.2587933744855967,0.0256757718562981,0.228535390946502,0.0275376481561554,24118.022928722992,0.0009765625,0.1281305679814013,0.0149118031633206,8.585017984403566e-05,1.3659769100257695e-06
Yavatmal,2019-12-02,2020-01-01,0.840997468354459,0.4258765432098764,0.0506558420711521,0.296092037037037,0.0387524796333647,0.2583968827160494,0.0413905441911255,24118.022928722992,0.0009765625,0.1162872427983539,0.00928587263296,5.996907695555768e-05,1.6620975800200953e-06
Yavatmal,2020-01-01,2020-01-31,0.6573593530238995,0.4144437345679013,0.0565048773302745,0.2677996296296296,0.0379987561474054,0.2302281790123456,0.03729029909038,24118.022928722992,0.0009765625,0.1169158436213991,0.0100790762363312,5.767952518183138e-05,2.8411688975791187e-06
Yavatmal,2020-01-31,2020-03-01,0.8731943012958112,0.3661170061728395,0.0382149880609692,0.2441903086419753,0.0354196003074215,0.2073778086419753,0.0292854350997961,24118.022928722992,0.0009765625,0.1182530452674897,0.0110936919012562,5.712771171861414e-05,2.23073616407029e-06
Yavatmal,2020-03-01,2020-03-31,0.8053587031570686,0.3571540432098765,0.0412009841356963,0.2726377777777778,0.0304080986077312,0.2286662654320987,0.0247021094035379,24118.022928722992,0.0009765625,0.1186272427983538,0.0107535903242178,5.215599263102834e-05,8.059869893693765e-07
